Instance name, X location, Y location, Voltage
input9, 25.14, 54.4, 2.77328e-05
input25, 25.14, 54.4, 2.77328e-05
input54, 25.14, 54.4, 2.77328e-05
_173_, 25.14, 48.96, 5.8485e-05
_174_, 25.14, 48.96, 5.8485e-05
_205_, 25.14, 48.96, 5.8485e-05
_206_, 25.14, 48.96, 5.8485e-05
_207_, 25.14, 48.96, 5.8485e-05
_213_, 25.14, 48.96, 5.8485e-05
input30, 25.14, 48.96, 5.8485e-05
input62, 25.14, 48.96, 5.8485e-05
FILLER_0_14_36, 25.14, 48.96, 5.8485e-05
_184_, 25.14, 43.52, 3.44052e-05
FILLER_0_13_52, 25.14, 43.52, 3.44052e-05
_168_, 25.14, 32.64, 2.79842e-05
_170_, 25.14, 32.64, 2.79842e-05
_172_, 25.14, 32.64, 2.79842e-05
FILLER_0_8_53, 25.14, 32.64, 2.79842e-05
FILLER_0_9_47, 25.14, 32.64, 2.79842e-05
_167_, 25.14, 27.2, 2.8106e-05
_219_, 25.14, 27.2, 2.8106e-05
_226_, 25.14, 27.2, 2.8106e-05
_227_, 25.14, 27.2, 2.8106e-05
FILLER_0_6_41, 25.14, 27.2, 2.8106e-05
FILLER_0_6_55, 25.14, 27.2, 2.8106e-05
_163_, 25.14, 21.76, 4.86194e-05
_228_, 25.14, 21.76, 4.86194e-05
FILLER_0_5_51, 25.14, 21.76, 4.86194e-05
_156_, 25.14, 16.32, 4.50028e-05
_159_, 25.14, 16.32, 4.50028e-05
_162_, 25.14, 16.32, 4.50028e-05
_224_, 25.14, 16.32, 4.50028e-05
FILLER_0_3_49, 25.14, 16.32, 4.50028e-05
_121_, 25.14, 10.88, 4.11866e-05
_155_, 25.14, 10.88, 4.11866e-05
_157_, 25.14, 10.88, 4.11866e-05
_161_, 25.14, 10.88, 4.11866e-05
input43, 25.14, 10.88, 4.11866e-05
input45, 25.14, 10.88, 4.11866e-05
input46, 25.14, 10.88, 4.11866e-05
input48, 25.14, 10.88, 4.11866e-05
PHY_EDGE_ROW_15_Left_31, 5.52, 54.4, 2.94541e-05
_179_, 49.22, 54.4, 3.28139e-05
PHY_EDGE_ROW_15_Right_15, 49.22, 54.4, 3.28139e-05
input28, 15.33, 54.4, 2.94541e-05
input60, 15.33, 54.4, 2.94541e-05
input12, 37.18, 54.4, 3.18958e-05
input29, 37.18, 54.4, 3.18958e-05
input61, 37.18, 54.4, 3.18958e-05
_115_, 5.52, 48.96, 7.89027e-05
_116_, 5.52, 48.96, 7.89027e-05
PHY_EDGE_ROW_13_Left_29, 5.52, 48.96, 7.89027e-05
PHY_EDGE_ROW_14_Left_30, 5.52, 48.96, 7.89027e-05
input21, 5.52, 48.96, 7.89027e-05
input24, 5.52, 48.96, 7.89027e-05
input27, 5.52, 48.96, 7.89027e-05
_180_, 49.22, 48.96, 7.8873e-05
_210_, 49.22, 48.96, 7.8873e-05
PHY_EDGE_ROW_13_Right_13, 49.22, 48.96, 7.8873e-05
PHY_EDGE_ROW_14_Right_14, 49.22, 48.96, 7.8873e-05
input6, 49.22, 48.96, 7.8873e-05
_114_, 15.33, 48.96, 7.36627e-05
_130_, 15.33, 48.96, 7.36627e-05
_131_, 15.33, 48.96, 7.36627e-05
_133_, 15.33, 48.96, 7.36627e-05
_175_, 15.33, 48.96, 7.36627e-05
_182_, 15.33, 48.96, 7.36627e-05
_212_, 15.33, 48.96, 7.36627e-05
input22, 15.33, 48.96, 7.36627e-05
input59, 15.33, 48.96, 7.36627e-05
_176_, 37.18, 48.96, 7.49351e-05
_177_, 37.18, 48.96, 7.49351e-05
_178_, 37.18, 48.96, 7.49351e-05
_181_, 37.18, 48.96, 7.49351e-05
_183_, 37.18, 48.96, 7.49351e-05
_209_, 37.18, 48.96, 7.49351e-05
_211_, 37.18, 48.96, 7.49351e-05
input23, 37.18, 48.96, 7.49351e-05
input58, 37.18, 48.96, 7.49351e-05
FILLER_0_13_57, 37.18, 48.96, 7.49351e-05
_135_, 5.52, 43.52, 4.58313e-05
_138_, 5.52, 43.52, 4.58313e-05
PHY_EDGE_ROW_11_Left_27, 5.52, 43.52, 4.58313e-05
PHY_EDGE_ROW_12_Left_28, 5.52, 43.52, 4.58313e-05
_190_, 49.22, 43.52, 4.95044e-05
PHY_EDGE_ROW_11_Right_11, 49.22, 43.52, 4.95044e-05
PHY_EDGE_ROW_12_Right_12, 49.22, 43.52, 4.95044e-05
input1, 49.22, 43.52, 4.95044e-05
input7, 49.22, 43.52, 4.95044e-05
input38, 49.22, 43.52, 4.95044e-05
_136_, 15.33, 43.52, 4.26088e-05
_185_, 15.33, 43.52, 4.26088e-05
rebuffer1, 15.33, 43.52, 4.26088e-05
rebuffer2, 15.33, 43.52, 4.26088e-05
FILLER_0_12_24, 15.33, 43.52, 4.26088e-05
FILLER_0_13_29, 15.33, 43.52, 4.26088e-05
_132_, 37.18, 43.52, 4.55935e-05
_208_, 37.18, 43.52, 4.55935e-05
input26, 37.18, 43.52, 4.55935e-05
input33, 37.18, 43.52, 4.55935e-05
input39, 37.18, 43.52, 4.55935e-05
input44, 37.18, 43.52, 4.55935e-05
input55, 37.18, 43.52, 4.55935e-05
FILLER_0_12_65, 37.18, 43.52, 4.55935e-05
_137_, 5.52, 38.08, 4.8505e-05
_220_, 5.52, 38.08, 4.8505e-05
PHY_EDGE_ROW_9_Left_25, 5.52, 38.08, 4.8505e-05
PHY_EDGE_ROW_10_Left_26, 5.52, 38.08, 4.8505e-05
input56, 5.52, 38.08, 4.8505e-05
FILLER_0_10_3, 5.52, 38.08, 4.8505e-05
_187_, 49.22, 38.08, 4.24193e-05
_191_, 49.22, 38.08, 4.24193e-05
PHY_EDGE_ROW_9_Right_9, 49.22, 38.08, 4.24193e-05
PHY_EDGE_ROW_10_Right_10, 49.22, 38.08, 4.24193e-05
input10, 49.22, 38.08, 4.24193e-05
_134_, 15.33, 38.08, 4.19802e-05
_139_, 15.33, 38.08, 4.19802e-05
_141_, 15.33, 38.08, 4.19802e-05
FILLER_0_9_16, 15.33, 38.08, 4.19802e-05
_186_, 37.18, 38.08, 3.76048e-05
_216_, 37.18, 38.08, 3.76048e-05
FILLER_0_11_69, 37.18, 38.08, 3.76048e-05
_140_, 5.52, 32.64, 3.97263e-05
PHY_EDGE_ROW_7_Left_23, 5.52, 32.64, 3.97263e-05
PHY_EDGE_ROW_8_Left_24, 5.52, 32.64, 3.97263e-05
input40, 5.52, 32.64, 3.97263e-05
input41, 5.52, 32.64, 3.97263e-05
input53, 5.52, 32.64, 3.97263e-05
_188_, 49.22, 32.64, 4.14026e-05
PHY_EDGE_ROW_7_Right_7, 49.22, 32.64, 4.14026e-05
PHY_EDGE_ROW_8_Right_8, 49.22, 32.64, 4.14026e-05
input11, 49.22, 32.64, 4.14026e-05
input42, 49.22, 32.64, 4.14026e-05
FILLER_0_8_85, 49.22, 32.64, 4.14026e-05
_124_, 15.33, 32.64, 3.59107e-05
_125_, 15.33, 32.64, 3.59107e-05
_169_, 15.33, 32.64, 3.59107e-05
_171_, 15.33, 32.64, 3.59107e-05
FILLER_0_8_25, 15.33, 32.64, 3.59107e-05
FILLER_0_9_24, 15.33, 32.64, 3.59107e-05
_123_, 37.18, 32.64, 3.79212e-05
_164_, 37.18, 32.64, 3.79212e-05
_165_, 37.18, 32.64, 3.79212e-05
_166_, 37.18, 32.64, 3.79212e-05
_189_, 37.18, 32.64, 3.79212e-05
FILLER_0_8_80, 37.18, 32.64, 3.79212e-05
FILLER_0_9_69, 37.18, 32.64, 3.79212e-05
PHY_EDGE_ROW_5_Left_21, 5.52, 27.2, 3.9346e-05
PHY_EDGE_ROW_6_Left_22, 5.52, 27.2, 3.9346e-05
input8, 5.52, 27.2, 3.9346e-05
input57, 5.52, 27.2, 3.9346e-05
FILLER_0_6_6, 5.52, 27.2, 3.9346e-05
_126_, 49.22, 27.2, 4.52997e-05
_193_, 49.22, 27.2, 4.52997e-05
PHY_EDGE_ROW_5_Right_5, 49.22, 27.2, 4.52997e-05
PHY_EDGE_ROW_6_Right_6, 49.22, 27.2, 4.52997e-05
input5, 49.22, 27.2, 4.52997e-05
_147_, 15.33, 27.2, 3.67129e-05
_223_, 15.33, 27.2, 3.67129e-05
FILLER_0_5_13, 15.33, 27.2, 3.67129e-05
FILLER_0_6_23, 15.33, 27.2, 3.67129e-05
FILLER_0_6_29, 15.33, 27.2, 3.67129e-05
FILLER_0_7_30, 15.33, 27.2, 3.67129e-05
_122_, 37.18, 27.2, 4.11403e-05
_194_, 37.18, 27.2, 4.11403e-05
_217_, 37.18, 27.2, 4.11403e-05
_218_, 37.18, 27.2, 4.11403e-05
FILLER_0_6_72, 37.18, 27.2, 4.11403e-05
FILLER_0_7_69, 37.18, 27.2, 4.11403e-05
_145_, 5.52, 21.76, 6.50458e-05
_221_, 5.52, 21.76, 6.50458e-05
PHY_EDGE_ROW_3_Left_19, 5.52, 21.76, 6.50458e-05
PHY_EDGE_ROW_4_Left_20, 5.52, 21.76, 6.50458e-05
input20, 5.52, 21.76, 6.50458e-05
input52, 5.52, 21.76, 6.50458e-05
_127_, 49.22, 21.76, 6.26422e-05
_128_, 49.22, 21.76, 6.26422e-05
PHY_EDGE_ROW_3_Right_3, 49.22, 21.76, 6.26422e-05
PHY_EDGE_ROW_4_Right_4, 49.22, 21.76, 6.26422e-05
input32, 49.22, 21.76, 6.26422e-05
input37, 49.22, 21.76, 6.26422e-05
_144_, 15.33, 21.76, 6.08202e-05
_146_, 15.33, 21.76, 6.08202e-05
_151_, 15.33, 21.76, 6.08202e-05
_152_, 15.33, 21.76, 6.08202e-05
_222_, 15.33, 21.76, 6.08202e-05
_225_, 15.33, 21.76, 6.08202e-05
input50, 15.33, 21.76, 6.08202e-05
FILLER_0_4_22, 15.33, 21.76, 6.08202e-05
FILLER_0_4_29, 15.33, 21.76, 6.08202e-05
_192_, 37.18, 21.76, 5.79249e-05
_197_, 37.18, 21.76, 5.79249e-05
_201_, 37.18, 21.76, 5.79249e-05
_204_, 37.18, 21.76, 5.79249e-05
FILLER_0_4_65, 37.18, 21.76, 5.79249e-05
FILLER_0_5_74, 37.18, 21.76, 5.79249e-05
_142_, 5.52, 16.32, 5.64905e-05
_143_, 5.52, 16.32, 5.64905e-05
PHY_EDGE_ROW_1_Left_17, 5.52, 16.32, 5.64905e-05
PHY_EDGE_ROW_2_Left_18, 5.52, 16.32, 5.64905e-05
_129_, 49.22, 16.32, 7.22914e-05
_196_, 49.22, 16.32, 7.22914e-05
PHY_EDGE_ROW_1_Right_1, 49.22, 16.32, 7.22914e-05
PHY_EDGE_ROW_2_Right_2, 49.22, 16.32, 7.22914e-05
input63, 49.22, 16.32, 7.22914e-05
input64, 49.22, 16.32, 7.22914e-05
_117_, 15.33, 16.32, 5.39181e-05
_148_, 15.33, 16.32, 5.39181e-05
_149_, 15.33, 16.32, 5.39181e-05
input15, 15.33, 16.32, 5.39181e-05
input17, 15.33, 16.32, 5.39181e-05
input19, 15.33, 16.32, 5.39181e-05
FILLER_0_2_23, 15.33, 16.32, 5.39181e-05
FILLER_0_2_29, 15.33, 16.32, 5.39181e-05
_160_, 37.18, 16.32, 6.6886e-05
_202_, 37.18, 16.32, 6.6886e-05
_203_, 37.18, 16.32, 6.6886e-05
_214_, 37.18, 16.32, 6.6886e-05
_215_, 37.18, 16.32, 6.6886e-05
input2, 37.18, 16.32, 6.6886e-05
input4, 37.18, 16.32, 6.6886e-05
input31, 37.18, 16.32, 6.6886e-05
input36, 37.18, 16.32, 6.6886e-05
_118_, 5.52, 10.88, 5.91344e-05
_119_, 5.52, 10.88, 5.91344e-05
PHY_EDGE_ROW_0_Left_16, 5.52, 10.88, 5.91344e-05
input18, 5.52, 10.88, 5.91344e-05
input51, 5.52, 10.88, 5.91344e-05
output65, 5.52, 10.88, 5.91344e-05
_199_, 49.22, 10.88, 5.3416e-05
PHY_EDGE_ROW_0_Right_0, 49.22, 10.88, 5.3416e-05
_150_, 15.33, 10.88, 5.35158e-05
_153_, 15.33, 10.88, 5.35158e-05
_154_, 15.33, 10.88, 5.35158e-05
_158_, 15.33, 10.88, 5.35158e-05
input16, 15.33, 10.88, 5.35158e-05
input47, 15.33, 10.88, 5.35158e-05
input49, 15.33, 10.88, 5.35158e-05
_120_, 37.18, 10.88, 5.24978e-05
_195_, 37.18, 10.88, 5.24978e-05
_198_, 37.18, 10.88, 5.24978e-05
_200_, 37.18, 10.88, 5.24978e-05
input3, 37.18, 10.88, 5.24978e-05
input13, 37.18, 10.88, 5.24978e-05
input14, 37.18, 10.88, 5.24978e-05
input34, 37.18, 10.88, 5.24978e-05
input35, 37.18, 10.88, 5.24978e-05

